文本,文本1




　　韦冬梅 市农村经济经营管理站负责人




　　孙春媚 市农业农村项目管理中心主任




　　刘发东 市水产畜牧技术服务中心负责人




　　陶柳秀 市农业综合检测中心主任




　　领导小组下设办公室，由办公室负责巡察时期信访稳定工作。




　　主  任: 黄  捷 市农业农村局党组成员、副局长




　　副主任: 赵丹晴 市农业农村局办公室主任




　　成  员: 李必强 市农业农村局四级主任科员




　　龙世云 市农村经济经营管理站干部、信访专干




　　农玉琴 市农业农村局办公室干部




　　办公室要负责收集研判各种可能在上访的信息，并加强与巡察工作协调联络小组的联系，做好信息共享;每天向有关领导报告上访情况。负责巡察组交办、来信来访及排查的信访案件由信访办公室统一负责接 (待) 收、登记，并根据职责范围，及时转交有关分管或包案领导予以办理。各分管、包案领导接到信访案件后，以书面形式通知相关单位和相关负责人配合处理。




　　四、应急疏导及处理




　　出现突出信访稳定问题，要积极开展以下工作:




　　(一) 分管、包案领导和工作人员必须在第一时间赶赴现场，采取有效措施全力予以控制局面，并及时向局信访稳定工作领导小组办公室报告情况。




　　(二) 局处理重大敏感时段信访稳定工作领导小组办公室立即组织召开工作会议，通报情况，研判可能出现的问题，研判制定对策，并将相关情况及时报告领导小组组长、常务副组长及副组长。




　　(三) 对已进京、赴省、赴市、到县的上访人员。相关包案领导按相关规定做好劝返、接返工作，并督促责任单位进一步落实好教育和稳控工作。




　　(四) 局巡察期间信访工作领导小组办公室负责对信访稳定突发事件及信访案件全过程进行记录在案，包括工作过程、事态情况、谈话记录、处理结果、摄像、照相及其它相关资料等，并及时向领导小组写出书面工作报告。




　　五、工作要求




　　做好信访稳定工作，是巡察期间的一项重要任务，各股室、部门一定要进一步增强紧迫感、责任感，做细做实做好各项工作，创造良好的社会环境。




　　(一) 要加强领导。局包案领导对所包信访案件要落实“六包""(即包调查、包处理、包督办、包稳控、包息访、包结案) 责任制，亲自挂帅，按照工作原则，组成化解信访案件工作组。




　　(二) 要强化责任。包案领导、主要责任人和承办人员要认真落实包案责任制，逐案进行研究，采取一案一档，迅速加以化解，保证按期结案上报。镇党委政府将组织专人定期不定期对所包信访案件的化解进展情况进行督查，适时召开包案领导化解信访案件促进会，全面掌握化解进度。




　　(三) 加强情报信息。要加强信访值班，重点股室、部门全体干部职工要 24 小时畅通信访渠道，掌控信访动态，做到重大信访信息及时联络沟通。


"
上海市交通委员会关于表彰2024年度委系统信访、热线工作先进集体和先进个人的通知,"

            上海市交通委员会关于表彰2024年度委系统信访、热线工作先进集体和先进个人的通知
沪交信〔2025〕209 号


　　上海市交通委员会关于表彰2024年度委系统信访、热线工作先进集体和先进个人的通知.pdf



        "
内蒙古自治区党委社会工作部、内蒙古自治区信访局关于开展内蒙古自治区“六个行动”人民建议专题征集的公告,"内蒙古自治区党委社会工作部、内蒙古自治区信访局关于开展内蒙古自治区“六个行动”人民建议专题征集的公告










　　为认真贯彻落实习近平总书记关于社会工作的重要论述、重要指示精神和对内蒙古的重要指示精神，贯彻落实自治区党委工作要求，以铸牢中华民族共同体意识为工作主线，助力开展“六个行动""，现面向公民、法人和其他组织开展人民建议专题征集，欢迎社会各界围绕重大项目谋划、助企纾困、就业促进、节水增效、区域合作深化和北疆文化建设提升等领域积极建言献策，为推动内蒙古高质量发展汇聚民智。




　　一、征集内容




聚焦“六个行动""主要任务，重点征集以下方面的人民建议：




　　（一）‌重大项目谋划行动方面




　　围绕建设一流营商环境、标志性牵引性重大工程策划、优化招商引资路径、优化要素保障机制、项目全周期管理创新等内容征集人民建议‌。




　　（二）‌助企行动方面‌




　　围绕审批流程优化、清偿中小企业账款、民营企业融资支持、涉企检查规范、支持民营企业开展科技创新、加强新兴领域党的建设等内容征集人民建议‌。




　　（三）‌就业促进行动方面‌




　　围绕职业技能培训、企业用工对接、就业岗位开发、就业服务模式创新等内容征集人民建议‌。




　　（四）‌节水行动方面‌




　　围绕农业高效节水技术推广、工业循环用水改造、居民节水意识提升、机关企业事业单位节水行动‌等内容征集人民建议。




　　（五）‌区域合作深化行动方面‌




　　围绕建设向北开放桥头堡，京津冀协同发展，对俄蒙开放合作，加强与长三角、粤港澳大湾区和东北地区的合作等内容征集人民建议。




　　（六）‌北疆文化建设提升行动方面‌




　　围绕文化品牌打造、文艺精品创作、拓展文旅融合路径、优化公共文化服务、加强文化研究阐释和宣传展示、深化文化体制机制改革、提升北疆文化知名度和吸引力‌等内容征集人民建议。




　　二、征集渠道




　　（一）‌线上平台‌。依托自治区、盟市、旗县（市、区）信访局（自治区人民建议征集办）及有关单位网站页面开设“六个行动""人民建议征集专栏。




　　（二）‌基层站点‌。盟市、旗县（市、区）信访局，苏木乡镇（街道）党群服务中心，嘎查村（社区）党群服务中心合并设立“人民建议征集窗口""收集来访群众的意见建议‌。




　　（三）来信来函。公民、法人和其他组织可向各级信访部门及有关部门致信致函。




　　以上渠道征集到的人民建议均按照《内蒙古自治区人民建议征集工作办法（试行）》有关规定分级办理，并将办理有关情况汇总至各级信访部门人民建议征集机构，定期向自治区信访局办信处（人民建议征集处）汇总上报。




　　三、征集时间




　　自公布之日起至 2025 年 12 月 31 日。




　　四、征集要求




　　1.提出的建议应当客观真实，一事一议，主题突出，具有针对性和可操作性，一般包括建议主题、主要事由、对策建议、建议人姓名和联系方式等基本信息。




　　2.表述不清、没有具体内容的，属于学术理论、商业广告、推销宣传等内容的，涉及个人诉求以及依法应当通过诉讼、仲裁、行政复议等途径解决的事项，不纳入征集范围。




　　3.征集期间，对有价值、可操作、能够转化运用的建议，将及时转送相关地方和部门研究采纳。自治区及盟市、旗县（市、区）将对优秀建议人、办理单位给予激励嘉许。




　　联系方式：自治区信访局办信处（人民建议征集处）0471-4867111，自治区社会工作部办公室 0471-4862231。










内蒙古自治区党委社会工作部




内蒙古自治区信访局




2025年3月20日


"
中共陕西省信访局党组关于邓中华等7名同志任职的通知,"中共陕西省信访局党组关于邓中华等7名同志任职的通知




各处（室）：




　　经局党组 2025 年 2 月 28 日会议研究决定：




　　邓中华同志任办公室主任，免去其办公室副主任职务（试用期一年）；




　　刘念群同志任综合指导处处长，免去其综合指导处二级调研员职级（试用期一年）；




　　张菊红同志任督查室主任，免去其投诉受理办公室副主任职务（试用期一年）；




　　韩红兵同志任来访接待一处处长，免去其来访接待一处副处长职务（试用期一年）；




　　卢辉辉同志任来访接待二处处长，免去其来访接待二处副处长职务（试用期一年）；




　　翟晓颖同志任投诉受理办公室主任，免去其办信处副处长职务（试用期一年）；




　　申俊杰同志任正处级领导干部，免去其办公室副主任职务。




中共陕西省信访局党组




2025年2月28日


"
中共南京市信访局党组关于易宏实同志职级晋升的通知,"

            中共南京市信访局党组关于易宏实同志职级晋升的通知


经局党组研究并报市委组织部审核同意：
　　易宏实同志晋升为督察室（复查复核处）一级主任科员。原任职级自行免除，不再另行下文。
中共南京市信访局党组
2025年2月20日

        "
中共佛山市信访局党组关于黄俏等同志职务职级任免的通知,"中共佛山市信访局党组关于黄俏等同志职务职级任免的通知




中共佛山市信访局党组关于黄俏等同志职务职级任免的通知




本局各科：




　　经研究同意：




　　黄俏同志任佛山市信访局办公室副主任，免去其办公室四级主任科员职级，试用期一年。




　　何永坚同志任佛山市信访局办信接访科副科长，免去其办公室四级主任科员职级，试用期一年。




　　何锦洪同志任佛山市信访局四级调研员。




　　李政同志任佛山市信访局督办和复查复核科三级主任科员。




　　滕达同志任佛山市信访局调研科三级主任科员。




　　彭斌同志任佛山市信访局办信接访科三级主任科员。




　　黄俏、何永坚、何锦洪、李政、滕达、彭斌同志任职时间从 2025 年 1 月 20 日起计。




中共佛山市信访局党组




2025年2月10日


"
十堰市人民政府办公室关于表扬2024年度全市招商引资、金融、安全生产、信访稳定等工作先进集体和个人的通报,"十堰市人民政府办公室关于表扬2024年度全市招商引资、金融、安全生产、信访稳定等工作先进集体和个人的通报




十政办函〔2025〕4号










各县市区人民政府，市政府各部门、各直属事业单位：




　　2024 年，在市委、市政府坚强领导下，全市上下坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻党的二十大和二十届二中、三中全会精神，全面落实习近平总书记考察湖北重要讲话和重要回信精神，锚定全国绿色低碳发展示范区建设目标，聚焦“一主四优多支撑""产业体系，统筹高水平保护、高质量发展、高品质生活、高效能治理，沉着应对多重困难挑战，守正创新、实干突围，拼出了一份好于预期、成之惟艰、厚重出彩的发展答卷。为进一步调动各地各部门工作积极性，充分发挥先进典型的示范带动作用，推动全市各项重点工作再上新台阶，经市委、市政府研究，决定对 2024 年度全市招商引资、金融、安全生产、信访稳定等领域涌现出的先进集体和个人予以通报表扬。




　　希望受表扬的单位和个人珍惜荣誉、再接再厉，攻坚克难、再立新功。各地各部门要以先进为榜样，进一步解放思想、拓宽赛道，奋发有为、蓄势聚能，为加快绿色低碳发展示范区建设成势见效，奋力谱写中国式现代化十堰篇章，推动湖北加快建成中部地区崛起重要战略支点展现十堰担当、做出新的更大贡献。




2025年2月7日




　　附件




附件_1、2024年度全市信访稳定工作通报表扬名单.doc




附件_2、2024年度十堰市招商引资工作通报表扬名单.doc




附件_3、2024年度全市金融工作通报表扬名单.doc




附件_4、2024年度全市安全生产工作通报表扬名单.doc


"
佛山市信访局2024年政府信息公开工作年度报告,"佛山市信访局2024年政府信息公开工作年度报告










　　一、总体情况




　　2024年，市信访局坚持以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届三中全会精神，落实《政府信息公开条例》要求，紧紧围绕信访中心工作，推动政府信息公开工作取得新进展。




　　（一）严格落实责任，依法履行公开义务。我局高度重视政务公开工作，切实加强组织领导，指定责任心强、综合素质优秀的政务信息员专门负责政务信息整合、网络信息管理等有关工作。明确局办公室作为政务信息公开的职能科室，全面协调处理日常事务。建立了“分管领导统管、科室负责人督办、具体责任人执行、信息复核反馈""的工作机制。




　　（二）依法全面推进政务公开。坚持以公开为常态、不公开为例外原则，全面推进决策、执行、管理、服务、结果“五公开""，进一步加强政务公开制度化、标准化、信息化建设，主要通过佛山市信访局网站、微信公众号（佛山信访）进行公开。2024年，我局网站按时更新各栏目信息，共发布“工作动态""66条，“政策文件和解读""5条，“通知公告""5条，“各区信访""22条，“信访园地""3条，合计101条。




　　（三）围绕社会重大关切加强舆情回应。建立完善舆情回应快速反应和协调联动的工作机制，扎实做好舆情研判、处置和回应，严格执行时限要求，确保回应不超时、内容不敷衍。及时发布网上信访指南和市、区领导接访活动相关安排。2024年我局暂无制定行政规章和规范性文件，共办理5份相关网民留言、1份信息依申请公开。




　　（四）强化网络宣传工作，充实网络宣传内容。我局在“政声传递""、“各地动态""、“信访园地""“专题专栏""（含“依法分类处理信访诉求专题""和“宪法宣传教育谁执法谁普法""两个专栏）四个模块积极发布公开信息，进一步强化了网络阵地宣传工作力度。




　　（五）建立健全政务公开制度机制。明确政务公开工作分管领导、工作机构负责人和经办人员，充实人员配备，实现了领导、机构、人员“三到位""。信息公开工作经费纳入局机关办公经费统筹。




　　二、主动公开政府信息情况




　　




第二十条第（一）项




信息内容

	

本年制发件数

	

本年废止件数

	

现行有效件数




规章

	

0

	

0

	

0




行政规范性文件

	

0

	

0

	

0




第二十条第（五）项




信息内容

	

本年处理决定数量




行政许可

	

0




第二十条第（六）项




信息内容

	

本年处理决定数量




行政处罚

	

0




行政强制

	

0




第二十条第（八）项




信息内容

	

本年收费金额（单位：万元）




行政事业性收费

	

0




　　三、收到和处理政府信息公开申请情况




　　




（本列数据的勾稽关系为：第一项加第二项之和，等于第三项加第四项之和）

	

申请人情况




自

然

人

	

法人或其他组织

	

总

计




商业

企业

	

科研

机构

	

社会

公益

组织

	

法律

服务

机构

	

其

他




一、本年新收政府信息公开申请数量

	

1

	

0

	

0

	

0

	

0

	

0

	

1




二、上年结转政府信息公开申请数量

	

0

	

0

	

0

	

0

	

0

	

0

	

0




三、本年度办理结果

	

（一）予以公开

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（二）部分公开（区分处理的，只计这一情形，不计其他情形）

	

0

	

0

	

0

	

0

	

0

	

0

	

0


	

（三）不予公开

	

1.属于国家秘密

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.其他法律行政法规禁止公开

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.危及“三安全一稳定""

	

0

	

0

	

0

	

0

	

0

	

0

	

0




4.保护第三方合法权益

	

0

	

0

	

0

	

0

	

0

	

0

	

0




5.属于三类内部事务信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




6.属于四类过程性信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




7.属于行政执法案卷

	

0

	

0

	

0

	

0

	

0

	

0

	

0




8.属于行政查询事项

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（四）无法提供

	

1.本机关不掌握相关政府信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.没有现成信息需要另行制作

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.补正后申请内容仍不明确

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（五）不予处理

	

1.信访举报投诉类申请

	

1

	

0

	

0

	

0

	

0

	

0

	

1




2.重复申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.要求提供公开出版物

	

0

	

0

	

0

	

0

	

0

	

0

	

0




4.无正当理由大量反复申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




5.要求行政机关确认或重新出具已获取信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（六）其他处理

	

1.申请人无正当理由逾期不补正、行政机关不再处理其政府信息公开申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.申请人逾期未按收费通知要求缴纳费用、行政机关不再处理其政府信息公开申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.其他

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（七）总计

	

1

	

0

	

0

	

0

	

0

	

0

	

1




四、结转下年度继续办理

	

0

	

0

	

0

	

0

	

0

	

0

	

0




　　四、政府信息公开行政复议、行政诉讼情况




　　




行政复议

	

行政诉讼




结

果

维

持

	

结

果

纠

正

	

其

他

结

果

	

尚

未

审

结

	

总

计

	

未经复议直接起诉

	

复议后起诉




结果

维持

	

结果

纠正

	

其他

结果

	

尚未

审结

	

总

计

	

结果

维持

	

结果

纠正

	

其他

结果

	

尚未

审结

	

总

计




0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0




　　五、存在的主要问题及改进情况




　　2024 年，我局政府信息公开工作虽然取得了一定成效，但仍存在一些问题和不足：一是政府信息公开意识需要进一步强化。个别业务科室主动公开意识不强的问题，需进一步转变工作思路，提升思想认识，使“以公开为常态、以不公开为例外""；二是政府信息公开能力需要进一步提升，对社会、对群众关注点敏感度不高，未能准确把握群众关心关切，政务公开重点不够突出，实际效果不够明显。在今后的工作中将积极改进，一是强化政府信息公开工作队伍建设，扎实开展业务培训，全力提升专职人员的业务水平，确保信息公开的规范性、及时性、有效性。二是强化群众参与渠道，进一步完善市信访局官网和微信公众号的留言功能，提升群众的参与度。




　　六、其他需要报告的事项




　　2024年，我局没有收取信息处理费。




佛山市信访局




2025年1月15日


"
西安市信访局2024年政府信息公开工作年度报告,"

            西安市信访局2024年政府信息公开工作年度报告


　　西安市信访局2024年政府信息公开工作年度报告.pdf

        "
青岛市信访局2024年政府信息公开工作年度报告,"青岛市信访局2024年政府信息公开工作年度报告




2025年










　　本报告根据《中华人民共和国政府信息公开条例》（以下简称条例）规定，按照《中华人民共和国政府信息公开工作年度报告格式》具体要求，由青岛市信访局编制，面向社会公开发布。报告中所列数据的统计期限为2024年1月1日至12月31日。如对本年度报告有任何疑问，请与市信访局政府信息公开办公室联系（电话：0532-85913340）。




　　一、总体情况




　　2024 年，青岛市信访局深入贯彻习近平总书记关于加强和改进人民信访工作的重要思想，认真贯彻落实国家、省、市关于深化新时代政务公开的工作要求，推动重点领域信息公开，提升标准化、规范化水平，助力信访工作高质量发展。




　　（一）主动公开。2024 年，市信访局在政府信息公开平台发布信息 91 条，在门户网站发布信息 255 条，在微信公众号发布信息 331 条。




　　（二）依申请公开方面。进一步完善依申请公开办理系统，制定答复规范，加强主动沟通，共收到依申请公开 2 件，均按期办结。




　　（三）政府信息管理方面。修订《青岛市信访局互联网平台信息发布管理办法》，明确主动公开内容、主体和时限。严格网站和新媒体内容发布审核机制。




　　（四）政府信息公开平台建设方面。依托局门户网站和“青岛信访""公众号，加强政府信息公开平台建设。局门户网站独立用户访问量 72328 个、网站总访问量 104438 次；“青岛信访""微信公众号累计发布信息 587 条（其中 2023 年全年 331 条），订阅数量 51085 万。




　　（五）监督保障方面。进一步加强政务公开工作组织领导，调整优化局政务工作领导小组成员，印发《关于进一步做好信访领域政务公开工作的若干措施》等文件，明确重点，完善监督保障。




　　二、主动公开政府信息情况







　　三、收到和处理政府信息公开申请情况




表 2 收到和处理政府信息公开申请情况







　　四、因政府信息公开工作被申请行政复议、提起行政诉讼情况。




表 3 因政府信息公开工作被申请行政复议、提起行政诉讼情况













　　五、政府信息公开工作存在的主要问题及改进情况。




　　我局政务公开工作仍存在一些短板，如信息公开面不够广、公开专业化水平不够高、政策解读能力相对较弱等。针对以上问题，制定以下改进措施：一是进一步优化调整门户网站和政务新媒体专题专栏，鼓励业务处室主动更新工作动态，丰富政务公开内容。二是加强政务公开人员培训力度，开展纵向和横向的学习、交流和取经，向上级部门学习、向同级部门学习，增强政务公开人员专业化技术和水平。三是严格落实政策解读“三同步""制度，根据工作需要，积极组建政策解读的专家队伍，提高政策解读的针对性、科学性、权威性和有效性，让人民群众“听得懂""、“信得过""。




　　六、其他需要报告的事项。




　　（一）收取信息处理费情况。2024 年，青岛市信访局没有依申请公开信息处理费收费情况。




　　（二）严格落实《2024 年青岛市政务公开工作要点》工作要求，印发《青岛市信访局关于进一步做好信访领域政务公开工作的若干措施》，进一步加强信访领域政务公开标准化、规范化和信息化建设，更好发挥公开促落实、助监督、强服务、防风险作用，提升信访工作透明度和公信力。




　　（三）人大建议和政协提案办理工作总体情况。市信访局认真贯彻落实市人大部署安排，坚持“依法办理、实事求是、注重实效""的原则，全力推进代表建议办理工作，共主办代表建议 2 件，其中公安司法 1 件、党群其他 1 件，均已办结回复，受到代表充分肯定，并将办理情况在网站公开。




　　（四）政务公开工作创新情况。一是以政务公开促《条例》宣传。广泛开展《信访工作条例》宣传月、《条例》实施一周年宣传日等活动，组织各级信访部门进乡村、进社区、进学校、进企业、进单位，发放各类宣传材料 3.1 万余份，接受群众咨询 3000 余人次，现场解决群众诉求 360 余起。二是以政务公开提升治理水平。邀请部分企业代表、区（市）人大代表、政协委员、律师及市民代表参与“政府开放日""活动，通过实地参观、面对面谈心谈话等方式，听取群众意见，改进服务流程。开展说理会、评理会、听证会，吸引社会力量参与信访工作，集中说“理""、公开办“理""、问效评“理""，以公开促公正，以听证化矛盾，保障群众参与权和知情权，提升群众获得感、满意度。




　　（五）政府信息公开工作年度报告数据统计需要说明的事项。




　　本年度报告中所列数据的统计期限自 2024 年 1 月 1 日至 2024 年 12 月 31 日。




　　（六）本行政机关认为需要报告的其他事项。




　　无。




　　（七）其他有关文件专门要求通过政府信息公开工作年度报告予以报告的事项。




　　无。


"
中山市信访局2024年度政府信息公开工作年度报告,"中山市信访局2024年度政府信息公开工作年度报告










　　一、总体情况




　　2024年，中山市信访局坚持以习近平新时代中国特色社会主义思想为指导，认真贯彻《中华人民共和国政府信息公开条例》的各项要求，加强组织领导，强化责任落实，较好地完成了政府信息公开工作任务。




　　（一）主动公开情况。2024年以来，主动公开政府信息数共计135条，包括：人事信息1条，财务预决算、财政专项经费使用和“三公""经费信息2条，政策发布、解读及回应信息共计9条，新闻信息46条。




　　（二）依申请公开情况。2024 年，累计办理公民、法人或其他组织通过政府信息公开平台、邮寄等途径依申请公开信息合计 4 件，及时办结率均达 100%。全年无因政府信息公开申请引发的行政复议和行政诉讼事项。




　　（三）门户网站和政务新媒体发布情况。中山市信访局门户网站信息发布：新闻 46 篇，通知公告 9 篇，其他类 80 余篇；政务新媒体信息发布 83 篇。按市府办、市委网信办要求，定期开展网站及政务新媒体自查工作。




　　二、主动公开政府信息情况




　　




第二十条第（一）项




信息内容

	

本年制发件数

	

本年废止件数

	

现行有效件数




规章

	

0

	

0

	

0




行政规范性文件

	

0

	

0

	

0




第二十条第（五）项




信息内容

	

本年处理决定数量




行政许可

	

0




第二十条第（六）项




信息内容

	

本年处理决定数量




行政处罚

	

0




行政强制

	

0




第二十条第（八）项




信息内容

	

本年收费金额（单位：万元）




行政事业性收费

	

0




　　三、收到和处理政府信息公开申请情况




　　




（本列数据的勾稽关系为：第一项加第二项之和，等于第三项加第四项之和）

	

申请人情况




自然人

	

法人或其他组织

	

总计




商业

企业

	

科研

机构

	

社会公益组织

	

法律服务机构

	

其他




一、本年新收政府信息公开申请数量

	

4

	

0

	

0

	

0

	

0

	

0

	

4




二、上年结转政府信息公开申请数量

	

0

	

0

	

0

	

0

	

0

	

0

	

0




三、本年度办理结果

	

（一）予以公开

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（二）部分公开（区分处理的，只计这一情形，不计其他情形）

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（三）不予公开

	

1.属于国家秘密

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.其他法律行政法规禁止公开

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.危及“三安全一稳定""

	

0

	

0

	

0

	

0

	

0

	

0

	

0




4.保护第三方合法权益

	

0

	

0

	

0

	

0

	

0

	

0

	

0




5.属于三类内部事务信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




6.属于四类过程性信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




7.属于行政执法案卷

	

0

	

0

	

0

	

0

	

0

	

0

	

0




8.属于行政查询事项

	

4

	

0

	

0

	

0

	

0

	

0

	

4




（四）无法提供

	

1.本机关不掌握相关政府信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.没有现成信息需要另行制作

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.补正后申请内容仍不明确

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（五）不予处理

	

1.信访举报投诉类申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.重复申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.要求提供公开出版物

	

0

	

0

	

0

	

0

	

0

	

0

	

0




4.无正当理由大量反复申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




5.要求行政机关确认或重新出具已获取信息

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（六）其他处理

	

1.申请人无正当理由逾期不补正、行政机关不再处理其政府信息公开申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




2.申请人逾期未按收费通知要求缴纳费用、行政机关不再处理其政府信息公开申请

	

0

	

0

	

0

	

0

	

0

	

0

	

0




3.其他

	

0

	

0

	

0

	

0

	

0

	

0

	

0




（七）总计

	

4

	

0

	

0

	

0

	

0

	

0

	

4




四、结转下年度继续办理

	

0

	

0

	

0

	

0

	

0

	

0

	

0




　　四、政府信息公开行政复议、行政诉讼情况




　　




行政复议

	

行政诉讼




结果维持

	

结果 纠正

	

其他 结果

	

尚未 审结

	

总计

	

未经复议直接起诉

	

复议后起诉




结果 维持

	

结果 纠正

	

其他 结果

	

尚未 审结

	

总计

	

结果 维持

	

结果 纠正

	

其他 结果

	

尚未 审结

	

总计




0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0

	

0




　　五、存在的主要问题及改进情况




　　2024 年，中山市信访局不断强化政府信息公开工作，并取得一定的积极成效，但尚存一些不足，主要表现在：信息公开工作内部机制亟待进一步完善和落实；信息公开形式和渠道未够多元化。




