文本,文本1



        "
"山东省人民政府令
（第297号）
","

            山东省人民政府令
（第297号）
　　《山东省人民政府关于废止〈山东省信访规定〉等3件省政府规章的决定》已经2016年2月26日省政府第73次常务会议通过，现予公布，自公布之日起施行。
省长　郭树清2016年4月15日
山东省人民政府关于废止《山东省信访规定》等3件省政府规章的决定
　　依照《中华人民共和国行政许可法》等有关法律、法规以及行政审批制度改革要求，省政府对现行有效的省政府规章进行了清理。经过清理，省政府决定废止以下规章：

　　　　一、山东省信访规定（省政府令第114号）。　　二、山东省安全生产监督管理规定（省政府令第141号）。　　三、山东省高等教育自学考试若干规定（鲁政发〔1983〕90号）。　　本决定自公布之日起施行。



        "
"湖南省人民政府令
（第279号）
","

            湖南省人民政府令
（第279号）
　　《湖南省信访事项复查复核办法》已经2016年2月22日省人民政府第70次常务会议审议通过，现予公布，自2016年5月1日起施行。
省长 杜家毫2016年3月17日
　　湖南省信访事项复查复核办法
第一章　总　 则
　　第一条　为了规范信访事项复查、复核工作，构建正常的信访秩序，监督行政机关依法处理信访事项，保护信访人的合法权益，根据国务院《信访条例》，结合本省实际，制定本办法。　　第二条　本办法所称复查，是指信访人对本省行政机关作出的信访事项处理意见不服，向原办理机关的上一级行政机关提出复查申请，上一级行政机关依法进行审查，并作出书面复查意见的行为。　　本办法所称复核，是指信访人对本省行政机关作出的信访事项复查意见不服，向复查机关的上一级行政机关提出复核申请，上一级行政机关依法进行审查，并作出书面复核意见的行为。　　前两款所称的信访事项处理、复查意见，包括法律、法规、规章授权组织作出的信访事项处理、复查意见。法宝联想司法案例司法案例(1)　　第三条　信访人不服下列组织、人员的职务行为提出的投诉请求类信访事项，经行政机关作出处理意见后不服的，可以依照本办法的规定向上一级行政机关申请复查；对复查意见仍不服的，可以依照本办法的规定向上一级行政机关申请复核：　　（一）行政机关及其工作人员；　　（二）法律、法规、规章授权组织及其工作人员；　　（三）提供公共服务的企业、事业单位及其工作人员；　　（四）社会团体或者其他企业、事业单位中由行政机关任命、派出的人员；　　（五）村民委员会、居民委员会及其成员。　　不符合前款规定的事项，信访人不得依照本办法申请复查、复核。法宝联想司法案例司法案例(4)　　第四条　县级以上人民政府及其工作部门是信访事项复查、复核机关，应当认真履行复查、复核工作职责。　　县级以上人民政府信访工作机构具体办理本级人民政府的信访事项复查、复核工作，履行下列职责：　　（一）受理信访人向本级人民政府提出的复查、复核申请；　　（二）协调本级人民政府相关部门对信访事项进行复查、复核，作出复查、复核意见；　　（三）督促检查复查、复核意见的落实；　　（四）办理经复核终结的信访事项备案；　　（五）对下级人民政府、本级人民政府工作部门的复查、复核进行指导；　　（六）办理本级人民政府交办的其他相关工作。　　县级以上人民政府工作部门应当确定复查、复核工作的机构和人员，履行相应的职责。　　第五条　复查、复核工作应当以事实为依据，以法律政策为准绳，坚持说服教育和依法办理相结合，努力做到案结事了。法宝联想司法案例司法案例(2)　　第六条　各级复查、复核机关应当向社会公布复查、复核工作机构的通讯地址、联系电话、接待时间、地点，申请复查、复核的条件和查询进展、结果的方式。第二章　信访事项的复查
第一节　申　请　　第七条　信访人对行政机关作出的信访事项处理意见不服的，可以自收到书面处理意见之日起30日内向本办法第九条规定的行政机关申请复查。信访事项处理意见书应当载明信访人申请复查的权利和期限。　　因不可抗力事由超过规定申请期限的，应当说明原因并经复查机关同意，申请期限自不可抗力事由消除之日起继续计算。　　第八条　复查申请应当由信访人本人提出。　　5人以上就同一信访事项提出复查申请的，应当由处理阶段推选的原代表提出。申请复查的代表确需变更的，应当由原信访人重新推选。　　申请复查的信访人是申请人，原处理机关是被申请人。　　第九条　申请人申请复查，应当按照下列规定向有权受理的行政机关提出：　　（一）被申请人是人民政府的，向上一级人民政府提出；　　（二）被申请人是县级以上人民政府工作部门的，向上一级主管部门或者本级人民政府提出；　　（三）被申请人是国家安全机关或者国家部委垂直管理行政机关的，向上一级主管部门提出；　　（四）被申请人是法律、法规、规章授权的组织的，向直接管理该组织的人民政府或者上一级主管部门提出；　　（五）被申请人是县级以上人民政府依法设立的派出机关的，向设立该派出机关的人民政府提出；　　（六）被申请人是县级以上人民政府工作部门依法设立的派出机构的，向设立该派出机构的部门提出；　　（七）对两个以上行政机关共同作出的处理意见不服的，向其共同上一级行政机关提出；　　（八）被申请人被撤销的，向继续行使其职权的行政机关的上一级行政机关提出，没有继续行使其职权的行政机关的，向作出撤销决定的行政机关提出。法宝联想司法案例司法案例(4)　　第十条　申请复查应当符合下列条件：　　（一）有明确的申请人和符合规定的被申请人，申请人与申请复查的信访事项有利害关系；　　（二）有具体的复查请求和理由，请求的范围不超出原信访事项的请求范围；　　（三）在法定申请期限内提出；　　（四）属于本办法第三条规定的申请复查的范围；　　（五）属于收到复查申请的行政机关职责范围；　　（六）未向其他复查机关提出同一复查申请。法宝联想司法案例司法案例(1)　　第十一条　申请复查应当提交下列书面材料：　　（一）复查申请书；　　（二）被申请人作出的处理意见书；　　（三）申请人的身份证明；　　（四）相关证据、依据等材料。　　复查申请书应当载明下列事项：　　（一）申请人的基本情况，包括公民的姓名、性别、年龄、身份证号码、联系电话、通讯地址、工作单位，法人或者其他组织的名称、联系电话、通讯地址和法定代表人或者主要负责人的姓名、职务；　　（二）被申请人的名称、住所和法定代表人或者主要负责人的姓名、职务；　　（三）具体的复查请求、主要事实、理由和依据；　　（四）申请人的签名或者盖章；　　（五）申请日期。　　第十二条　复查申请材料应当通过邮寄、传真等方式提交。　　采用走访方式的，应当到有权受理的行政机关指定的信访接待场所提交。第二节　受　理　　第十三条　复查机关收到复查申请应当予以登记，并在7个工作日内根据不同情况处理：　　（一）符合本办法规定的申请，予以受理并告知申请人。　　（二）不符合本办法规定的申请，不予受理并告知申请人不予受理的理由。　　（三）材料不全或者表述不清楚的，当场或者在5个工作日内一次性告知申请人需要补正的全部内容和补正期限。逾期不补正的，不予受理并告知申请人不予受理的理由。　　（四）申请人在复查申请中提出新的投诉请求的，告知其向有权处理的机关另行提出。　　（五）不属于本机关受理的复查申请的，当场告知申请人向有权受理的行政机关提出，或者自收到复查申请之日起15日内移送有权受理的行政机关并告知申请人。法宝联想司法案例司法案例(4)　　第十四条　复查机关受理复查申请后，应当向被申请人送达答辩通知书和复查申请书副本。　　被申请人应当自收到答辩通知书之日起7个工作日内提交书面答辩，并提交作出原处理意见的证据、依据等有关材料。　　第十五条　两个以上有权受理的行政机关都收到复查申请的，由最先收到申请的行政机关受理；同时收到申请的，由收到申请的行政机关在7个工作日内协商确定；协商不成的，由其共同上一级行政机关在7个工作日内指定受理机关。第三节　审 查　　第十六条　复查原则上采取书面审查方式。　　复查机关经审查认为有必要的，可以听取申请人陈述，要求被申请人、有关组织和人员说明情况，进行调查、勘验。　　第十七条　调查、勘验时，复查工作人员不得少于2人，并向被调查单位和人员出示有关证件。被调查单位和人员应当予以配合，不得拒绝或者阻挠。　　复查工作人员调查、勘验时，可以查阅、复制、调取有关资料，向有关人员进行询问并制作调查笔录。　　复查工作人员对调查、勘验中涉及的国家秘密、商业秘密或者个人隐私应当保密。　　第十八条　县级以上人民政府办理复查事项，可以指定有关部门提出审查意见，也可以组织有关部门联合调查、勘验。　　指定有关部门提出审查意见的，有关部门应当在接到通知之日起20日内提出。　　第十九条　申请复查的信访事项涉及专业性问题需要鉴定的，复查机关可以依法委托鉴定机构进行鉴定。鉴定费用由负有举证责任的一方当事人承担，法律、法规另有规定的除外。　　第二十条　重大、疑难、复杂的信访事项，复查机关可以组织专家进行论证。　　专家应当出具书面论证意见并签名确认，对论证意见负责。　　第二十一条　重大、疑难、复杂的信访事项，复查机关认为有必要的，可以决定举行听证。　　听证程序适用《湖南省行政程序规定》的有关规定。　　第二十二条　复查期间，复查机关发现受理的复查申请不符合本办法规定受理条件的，予以驳回并说明理由。　　发现原处理机关受理了下列不符合受理条件事项的，撤销原处理意见，并驳回申请：　　（一）已经或者应当通过诉讼、仲裁、行政复议等法定途径解决的；　　（二）各级人民代表大会及县级以上人民代表大会常务委员会、人民法院、人民检察院职权范围内的；　　（三）已经终结或者正在处理、复查、复核的；　　（四）提出意见、建议的；　　（五）已经超过相关法律政策规定的救济时效的；　　（六）不属于本省行政机关行政职权范围内的；　　（七）其他不符合受理条件的。法宝联想司法案例司法案例(21)　　第二十三条　复查期间，申请人可以与被申请人或者利害关系人自行和解；复查机关也可以组织申请人与被申请人或者利害关系人进行调解。　　和解、调解应当遵循自愿、合法原则，不损害国家利益、公共利益或者第三人利益。　　和解、调解达成书面协议的，复查机关应当书面告知申请人信访程序终结。和解、调解未能达成书面协议的，复查机关应当及时作出复查意见。和解、调解所需时间最长不超过30日。　　第二十四条　复查期间，申请人撤回复查申请的，需提交撤回申请书，经复查机关同意可以撤回，并由复查机关书面告知申请人信访程序终结。　　第二十五条　有下列情形之一的，复查机关中止复查，并告知申请人和被申请人：　　（一）主要证据正在其他法定程序确认过程中；　　（二）涉及法律、法规、规章或者政策适用问题，需要有权机关作出解释或者确认；　　（三）其他需要中止的情形。　　中止的原因消除后应当及时恢复复查程序，并告知申请人和被申请人。　　第二十六条　作为申请人的自然人死亡，没有近亲属或者其近亲属放弃复查的；作为申请人的法人或者其他组织终止，其权利义务的承受人放弃复查的，复查程序终止。第四节　复查结论　　第二十七条　复查机关经过审查，认为原处理意见认定事实清楚、证据确凿、适用依据正确、程序合法、内容适当的，予以维持。　　第二十八条　复查机关经过审查，认为原处理意见有下列情形之一的，予以变更，或者撤销并可以责令重新办理：　　（一）主要事实不清、证据不足；　　（二）适用依据错误；　　（三）违反法定程序；　　（四）明显不当；　　（五）超越或者滥用职权；　　（六）其他应当予以变更或者撤销的情形。　　被申请人未按照本办法第十四条第二款规定提交书面答辩，或者未提交作出原处理意见的证据、依据等材料的，视为该处理意见没有证据、依据，予以撤销。法宝联想司法案例司法案例(1)　　第二十九条　责令重新办理的，被申请人应当在规定的期限内重新作出处理意见，且不得以同一事实和理由作出与原处理意见内容相同或者基本相同的意见。因违反法定程序被责令重新办理的除外。　　申请人对重新作出的处理意见不服的，可以重新申请复查。　　第三十条　复查意见应当自收到复查申请之日起30日内作出。情况复杂的，经复查机关负责人批准可以适当延长期限，但延长的期限不得超过30日，并向申请人告知延长期限的理由。　　补正申请材料、协商确定管辖、中止期间、举行听证、鉴定、勘验、专家论证、指定提出审查意见、调解、和解、送达所需时间不计入30日的复查办理期限。　　第三十一条　复查机关作出复查结论，应当制作复查意见书，并加盖复查机关印章或者专用章。　　复查意见书应当载明申请人和被申请人的基本情况、主要诉求、原处理情况、复查查明的事实、法律政策依据和理由、复查意见，以及申请人申请复核的权利和期限。法宝联想司法案例司法案例(1)　　第三十二条　复查机关应当在复查意见书作出后5个工作日内，按照民事诉讼法规定的送达方式将复查意见书送达申请人和被申请人。　　第三十三条　复查机关应当将复查意见及时录入网上信访信息系统，并将重大信访事项的复查意见及时报上一级行政机关备案，同时抄送同级人民政府信访工作机构。法宝联想司法案例司法案例(2)第三章　信访事项的复核　　第三十四条　申请人对复查机关作出的复查意见不服的，可以自收到书面复查意见之日起30日内向复查机关的上一级行政机关申请复核。　　第三十五条　复核工作依照本办法第二章规定的复查工作程序进行。法宝联想司法案例司法案例(1)　　第三十六条　复核意见为信访终结意见，复核机关应当在复核意见书中告知申请人。　　已经终结的信访事项除前款规定的外，还包括下列情形：　　（一）已经超过申请复查、复核法定期限的；　　（二）已经撤回复查、复核申请的；　　（三）已经通过和解、调解达成书面协议的；　　（四）根据本办法第二十六条规定终止复查、复核程序的。　　信访人对上述已经终结的信访事项不服，仍以同一事实和理由提出请求的，各级人民政府信访工作机构和其他行政机关不再受理。第四章　指导和监督　　第三十七条　县级以上人民政府应当加强对其工作部门和下级人民政府复查、复核工作的指导和监督，提高复查、复核工作人员的业务水平，开展复查、复核案件质量检查，建立健全复查、复核工作责任制。　　第三十八条　已经终结的信访事项，需报省人民政府信访工作机构审核认定后录入全国信访信息系统终结备案库。　　本办法第三十六条第二款规定的未经复查、复核程序终结的信访事项，在报省人民政府信访工作机构审核认定前，应当先逐级报市州人民政府或者省人民政府工作部门核查。　　第三十九条　各级行政机关对本机关作出的信访终结意见负责。　　信访人所在地的相关责任单位应当负责做好信访人的思想疏导等终结后续工作。　　第四十条　有关行政机关有下列情形之一的，由上级行政机关责令限期改正，并可以给予通报批评；拒不改正并造成严重后果的，对直接负责的主管人员和其他直接责任人员依法给予处分：　　（一）不及时受理应当受理的复查、复核申请的：　　（二）不按照规定及时、公正办理复查、复核案件的；　　（三）不按照规定及时答辩的；　　（四）拒绝或者阻挠复查、复核工作人员依法进行调查、勘验或者查阅、调取证据材料的；　　（五）不按照要求及时提出复查、复核审查意见的；　　（六）在复查、复核工作中弄虚作假的；　　（七）拒不执行复查、复核意见的；　　（八）不认真履行终结后续工作职责的。　　第四十一条　信访人对已经终结的信访事项不服，仍以同一事实和理由重复或者越级信访的，有关机关工作人员应当进行劝阻和批评教育；有违反治安管理行为的，由公安机关依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。第五章　附　 则　　第四十二条　社会团体、企业事业单位的复查、复核工作参照本办法执行。其中，对国有或者国有控股企业、具有法人资格的事业单位作出的处理意见不服的，向有权处理的上一级主管部门或者相关职能部门申请复查；对书面复查意见不服的，向复查机关的上一级行政机关申请复核。　　第四十三条　本办法自2016年5月1日起施行。

法宝联想司法案例司法案例(1)

        "
"山东省人民政府令
(第204号)
","

            山东省人民政府令
(第204号)
　　《山东省信访事项复查复核办法》已经2008年6月16日省政府第13次常务会议通过，现予公布，自2008年7月1日起施行。
省　长　姜大明二○○八年六月三十日
山东省信访事项复查复核办法
第一章　总则
　　第一条　为了规范行政机关信访事项复查、复核工作，促使信访争议妥善解决，提高行政效率，防止和纠正行政机关对信访人作出错误的信访处理，引导信访人依法按程序信访，及时对信访人的合法权益予以救济，保障其合法权益，根据《信访条例》，结合本省实际，制定本办法。　　第二条　本办法所称复查，是指信访人对行政机关作出的信访事项处理意见不服，可以自收到书面答复之日起30日内向原办理机关的上一级行政机关请求复查，由收到复查请求的行政机关作出复查意见的活动。　　本办法所称复核，是指信访人对复查意见不服，可以自收到书面答复之日起30日内向复查机关的上一级行政机关请求复核，由收到复核请求的行政机关作出复核意见的活动。法宝联想司法案例司法案例(1)　　第三条　依法履行复查、复核职责的行政机关是复查复核机关，包括县级以上人民政府、设区的市以上人民政府工作部门，其负责复查、复核工作的机构（以下简称复查复核机构）具体办理复查、复核事项，履行下列职责：　　（一）具体承办复查、复核申请的受理工作；　　（二）向有关组织和人员调查取证，查阅文件、资料以及举行听证会；　　（三）审查原处理、复查意见是否合法与适当，拟订复查、复核意见；　　（四）按照职责权限，督促复查、复核申请的受理和复查、复核意见的履行；　　（五）办理复查、复核事项统计和备案审查事项；　　（六）研究复查、复核工作中发现的问题，及时向有关机关提出完善政策或者改进工作的建议；　　（七）对违反《信访条例》和本办法的行为依照规定的权限和程序提出处理建议；　　（八）指导、监督和检查下级行政机关的复查、复核工作；　　（九）法律、法规、规章规定的其他职责。法宝联想法律法规规范性文件(2)　　第四条　各级复查复核机关应当依照有关规定配备、充实具有法律等相关专业知识的复查、复核专职工作人员，保证其工作能力与工作任务和形势发展相适应。　　第五条　复查复核机关及其工作人员从事复查、复核活动，应当恪尽职守、秉公办事，查明事实、分清责任，宣传法制、教育疏导，及时妥善处理，不得推诿、敷衍、拖延。法宝联想司法案例司法案例(1)第二章　申请　　第六条　依照本办法的规定申请复查、复核的信访人是申请人，原办理、复查机关是被申请人；与信访事项有利害关系的其他公民、法人或者组织，可以作为第三人参加复查、复核。　　多人提出同一复查、复核申请的，应当推选代表，代表人数不得超过5人。法宝联想司法案例司法案例(2)　　第七条　申请复查、复核应当符合下列条件：　　（一）申请人必须是不服办理、复查意见的信访人；　　（二）有具体的复查、复核请求和事实依据；　　（三）属于信访复查、复核的范围，并且无法通过行政复议、诉讼、仲裁等其他法定救济途径解决的；　　（四）在法定申请期限内提出。法宝联想司法案例司法案例(5)　　第八条　申请人采用书面方式申请复查、复核，应当在复查、复核申请书中载明下列事项：　　（一）申请人的基本情况和被申请人的名称；　　（二）复查、复核请求；　　（三）主要事实和理由；　　（四）申请人的签名或者盖章；　　（五）申请的日期。　　复查、复核申请书可以采取当面递交、邮寄或者传真等形式提出。有条件的复查复核机构可以接受以电子邮件形式提出的复查、复核申请。　　第九条　申请人书面申请复查、复核有困难的，可以口头申请，复查复核机构应当依照本办法第八条规定的事项，当场制作复查、复核申请笔录，并由申请人签字或者盖章确认。　　第十条　申请人应当按照下列规定，向有关行政机关提出复查、复核申请：　　（一）被申请人是人民政府的，应向其上一级人民政府提出；　　（二）被申请人是县级以上人民政府工作部门的，由申请人选择，可以向其上一级主管部门提出，也可以向该部门的本级人民政府提出；被申请人是实行垂直领导的行政机关的，应向其上一级主管部门提出；被申请人是省人民政府工作部门的，向省人民政府提出；　　（三）被申请人是两个以上行政机关的，应向其共同的上一级行政机关提出。　　第十一条　信访人对行政机关的处理、复查意见不服，仍然以同一事实和理由重复或者越级信访的，各级行政机关的信访接待机构不予受理，并书面告知信访人向有权复查、复核的机关提出。　　信访人对行政机关作出的不予受理决定不服的，可以按照本办法第十四条的规定办理。第三章　受理　　第十二条　复查复核机关收到复查、复核申请，应当予以登记，并在3日内分别按下列方式处理：　　（一）对符合法定受理条件，并属于本机关职责范围的，应当受理，并书面通知申请人，同时向被申请人送达提出答复通知书和申请书或者申请笔录副本；　　（二）对符合法定受理条件，但不属于本机关职责范围的，应当书面告知申请人向有权复查、复核的机关提出；　　（三）对不符合法定受理条件的，不予受理，并书面告知申请人不予受理的理由，同时通知有关机关做好相关工作。法宝联想司法案例司法案例(10)　　第十三条　两个行政机关有权受理同一复查、复核申请时，申请人应当选择向其中的一个行政机关提出，收到申请的行政机关应当受理，不得推诿、移送另一个有权受理的行政机关；受理有争议的，由其共同的上一级行政机关决定受理机关。　　第十四条　申请人对复查复核机关不予受理决定不服的，可以向其上一级行政机关申诉，上一级行政机关应当分别作出以下处理：　　（一）复查复核机关不予受理的理由不成立的，责令其限期受理；　　（二）复查、复核申请不符合本办法规定受理条件的，书面告知申请人。　　申请人对复查复核机关按照本办法第十二条第（二）项规定作出的书面告知不服的，参照前款规定办理。法宝联想法律法规规范性文件(2)司法案例司法案例(4)　　第十五条　被申请人应当自收到提出答复通知书之日起5日内，提出书面答复，并提交作出处理、复查意见的证据、依据和其他有关材料。法宝联想专题参考专题参考(1)第四章　决定　　第十六条　复查复核机构办理复查、复核事项，应当听取申请人陈述事实和理由，并要求被申请人、有关组织和人员说明情况；必要时可以到现场调查取证。　　第十七条　复查、复核人员现场调查取证时，可以查阅、复制、调取有关文件和资料，向有关人员进行询问。　　现场调查取证时，复查、复核人员不得少于2人，并应当向当事人或者有关人员出示证件。被调查单位和人员应当配合复查、复核人员的工作，不得拒绝或者阻挠。法宝联想司法案例司法案例(2)　　第十八条　对重大、复杂、疑难的复查、复核事项，申请人要求听证或者复查复核机构认为必要时，可以采取听证的方式办理。听证程序按照《山东省信访事项听证办法（试行）》的规定执行。　　第十九条　县级以上各级人民政府受理的复查、复核事项，可以指定本级人民政府有关部门予以办理，有关部门应当在规定的期限内办理完毕，并提交办理意见。　　第二十条　复查、复核意见作出前，申请人要求撤回复查、复核申请的，经说明理由，可以撤回；申请人撤回申请的，不得再以同一事实和理由提出申请，但是申请人能够证明撤回申请违背其真实意思表示的除外。　　第二十一条　复查复核机构经过审查，提出处理意见，报复查复核机关批准后，按照下列规定作出决定，并书面答复申请人：　　（一）原处理、复查意见认定事实清楚、适用依据正确，程序合法，内容适当的，决定维持。　　（二）原处理、复查意见有下列情形之一的，决定变更或者撤销：　　1.主要事实不清的；　　2.适用依据错误的；　　3.违反法定程序的；　　4.超越或者滥用职权的；　　5.明显不当的。　　（三）被申请人未依照本办法第十五条的规定提出书面答复、提交作出处理、复查意见的证据、依据和其他有关材料的，视为该处理、复查意见没有证据、依据，决定撤销。　　（四）申请人在复查、复核申请中提出的新信访事项，应当告知其向依法有权处理的行政机关提出。　　决定撤销的，应当责令被申请人或者有关行政机关在一定期限内重新作出处理意见。法宝联想司法案例司法案例(44)专题参考专题参考(1)　　第二十二条　复查复核机关作出复查、复核决定，应当制作复查、复核意见，并加盖复查复核机关印章或者复查、复核专用章。法宝联想司法案例司法案例(11)　　第二十三条　责令被申请人或者有关行政机关对信访事项重新处理的，不得以同一事实和理由作出与原处理意见内容相同或者基本相同的意见。　　申请人对重新作出的处理、复查意见不服，可以依法申请复查、复核。法宝联想司法案例司法案例(5)第五章　指导和监督　　第二十四条　建立信访终结意见备案制度。省政府信访工作机构建立全省信访终结意见数据库，及时录入经过备案的信访终结意见，并与全国信访信息系统实现网络资源共享。　　第二十五条　行政机关应当分别于下列时限内，将作出的处理、复查或者复核意见及有关证据、依据材料分别报送上一级行政机关备案：　　（一）对信访人未提出复查、复核申请的处理、复查意见，自法定申请期限届满之日起7日内；　　（二）对复核意见，自作出之日起5日内。法宝联想法律法规规范性文件(2)　　第二十六条　备案机关应当自收到报送备案的有关材料之日起30日内对处理、复查或者复核意见进行审查，并分别作出以下处理：　　（一）对符合本办法规定的，决定予以备案并回复报送机关；　　（二）对不符合本办法规定的，作出不予备案的决定。法宝联想法律法规规范性文件(2)　　第二十七条　建立信访终结意见公示制度。行政机关对经过听证程序处理并依据听证结论作出的信访终结意见，可以依法向社会公示。　　第二十八条　县级以上各级人民政府应当通过组织检查、抽查等方式，加强对所属工作部门和下级人民政府履行复查、复核职责的监督检查，上级行政机关发现下级行政机关对信访事项的处理、复查或者复核确有错误的，应当责成下级行政机关重新处理，并向有关方面反馈检查结果。第六章　法律责任　　第二十九条　县级以上各级人民政府应当建立健全复查、复核工作责任制和责任追究制，对复查、复核工作中的失职、渎职行为，依照有关法律、法规和本办法的规定，追究有关责任人员的责任；构成犯罪的，依法追究刑事责任。　　第三十条　行政机关有下列情形之一的，由上级行政机关责令限期改正，并给予通报批评；拒不改正或者造成严重后果的，对直接负责的主管人员和其他直接责任人员，依法给予处分：　　（一）对属于其职责范围的复查、复核申请不予受理或者未在规定期限内书面告知申请人是否受理的；　　（二）推诿、拖延或者未在法定期限内办结复查、复核事项的；　　（三）处理、复查、复核意见被上级撤销后拒不改正的；　　（四）拒不执行复查、复核意见的；　　（五）未按规定提交本级人民政府委托复查、复核事项办理意见的；　　（六）未按规定报送应当备案的处理、复查或者复核意见的。　　第三十一条　信访人对信访终结意见不服，仍然以同一事实和理由重复或者越级信访的，有关国家机关工作人员应当对信访人进行劝阻和批评教育；违反治安管理行为的，由公安机关给予治安管理处罚；构成犯罪的，依法追究刑事责任。第七章　附则　　第三十二条　本办法关于“3日”、“5日”、“7日”的规定是指工作日，不含节假日；所称的“以上”、“以下”、“以内”，包括本数。　　第三十三条　本办法所称行政机关是指各级人民政府和县级以上人民政府工作部门、派出机关。政府直属机构、特设机构和法律、法规授权的具有管理公共事务职能的组织可以参照本办法对行政机关的规定从事复查、复核活动。　　第三十四条　本办法自2008年7月1日起施行。



        "
"郑州市人民政府令
（第162号）
","

            郑州市人民政府令
（第162号）
　　《郑州市人民政府关于维护信访秩序的若干规定》业经2007年5月23日市人民政府第79次常务会议审议通过，现予公布，自2007年10月1日起施行。
市　长　赵建才二○○七年八月十五日
郑州市人民政府关于维护信访秩序的若干规定
　　　　第一条　为规范信访行为，维护信访秩序，保护公民、法人和其他组织的合法权益，根据国务院《信访条例》等有关法律、法规，结合本市实际，制定本规定。　　第二条　公民、法人和其他组织依法信访受法律保护，任何组织、个人不得打击、报复信访人。　　各级人民政府及其所属工作部门应当做好信访工作，认真处理来信、接待来访，倾听人民群众的意见、建议和要求，接受人民群众的监督，努力为人民群众服务。　　各级人民政府及其所属工作部门应当畅通信访渠道，为信访人采用本条例规定的形式反映情况，提出建议、意见或者投诉请求提供便利条件。　　第三条　市、县（市、区）信访工作机构是本级人民政府负责信访工作的行政机构。市、县（市、区）公安机关负责维护信访秩序，依法处理扰乱公共秩序、妨害国家和公共安全的行为。　　第四条　信访人在信访过程中应当遵守法律、法规，不得损害国家、社会、集体的利益和其他公民的合法权益，自觉维护社会公共秩序和信访秩序。　　第五条　信访人在信访过程中有下列行为之一，经劝阻、批评、教育无效的，由公安机关依照《中华人民共和国治安管理处罚法》和《中华人民共和国集会游行示威法》的规定处理：　　（一）在国家机关办公场所周围、公共场所非法聚集，不听制止的；　　（二）围堵、冲击国家机关，不听制止的；　　（三）拦截公务车辆，不听劝阻，影响车辆正常通行的；　　（四）堵塞、阻断交通，不听制止的；　　（五）携带危险物品或管制器具的；　　（六）在信访过程中侮辱、殴打、威胁国家机关工作人员的；　　（七）在信访过程中非法限制他人人身自由的；　　（八）在信访接待场所滞留滋事，或者将生活不能自理的人弃留在信访接待场所，致使国家机关工作不能正常进行，尚未造成严重损失的；　　（九）煽动、串联、胁迫、以财物诱使、幕后操纵他人信访或者以信访为名借机敛财的；　　（十）到非信访接待场所走访，或者多人走访不按规定推选代表，致使国家机关工作不能正常进行，尚未造成严重损失的；　　（十一）其他扰乱公共秩序、妨害国家和公共安全、侵犯他人合法权益的行为。　　信访人有前款所列行为之一，构成犯罪的，依法追究刑事责任。　　第六条　发生信访人在国家机关办公场所周围、公共场所非法聚集，围堵、冲击国家机关，拦截公务车辆，或者堵塞、阻断交通的，信访工作机构、公安机关应当自接到通知后30分钟内到达现场；其他有关行政机关应当及时到达现场。信访工作机构负责教育、疏导现场群众，防止矛盾激化；公安机关负责维护现场秩序，控制事态发展，按照法定程序对违法行为进行处理。　　第七条　市、县（市、区）信访工作机构、公安机关及其他有关行政机关，应当依法履行法定职责，及时妥善处理信访事项，不得推诿、敷衍、拖延。　　第八条　信访工作机构、公安机关和其他有关行政机关在受理、办理信访事项过程中，违反国务院《信访条例》规定，不依法履行职责或有其他失职渎职行为，造成严重后果的，对直接负责的主管人员和其他直接责任人员依法给予行政处分，对行政首长按照《郑州市人民政府行政首长问责办法（试行）》的规定追究责任；构成犯罪的，依法追究刑事责任。　　第九条　本规定自2007年10月1日起施行。



        "
"福建省实施《信访条例》办法
（闽委办发[1996]5号）
","

            福建省实施《信访条例》办法
（闽委办发[1996]5号）
